using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
OçâûOÿMy address is 1.0.
nullmac PRIMAC, channel check rate 8 Hz, radio channel 26
Starting
Hello, world
119668 R 3.0 60 1 9708 94
 P 255912 25175 24015 30611034
120141 R 2.0 25 1 10271 95
 P 257394 25448 24025 30732595
120608 R 3.0 61 1 9752 96
 P 258199 25720 24033 30851634
121080 R 2.0 26 1 10315 97
 P 259614 25992 24041 30971934
121548 R 3.0 62 1 9796 98
 P 260419 26263 24050 31092234
122021 R 4.0 39 2 25431 99
 P 261930 26534 24059 31212534
122488 R 3.0 63 1 9840 100
 P 262949 26658 24069 31335023
122960 R 4.0 40 2 25475 101
 P 264365 26929 24078 31453134
123430 R 2.0 27 1 8185 102
 P 265877 27201 24086 31573434
123898 R 3.0 64 1 10353 103
 P 266829 27323 24095 31693734
124370 R 2.0 28 1 8228 104
 P 268245 27595 24104 31814034
124837 R 3.0 65 1 9501 105
 P 269115 27867 24114 31935275
125310 R 4.0 42 2 26032 106
 P 270532 28138 24123 32054634
125777 R 3.0 66 1 9545 107
 P 271334 28410 24133 32174934
126250 R 4.0 43 2 25179 108
 P 272751 28683 24141 32295234
 P 273865 28683 25039 32415534
127189 R 4.0 44 2 23432 109
 P 275349 28955 25050 32537959
127657 R 3.0 67 1 20118 110
 P 276151 29226 25059 32656134
128130 R 2.0 29 1 8404 111
 P 277665 29499 25068 32776434
128597 R 3.0 68 1 10573 112
 P 278620 29617 25076 32896734
129069 R 4.0 45 2 23519 113
 P 280038 29889 25084 33017034
129537 R 3.0 69 1 10617 114
 P 280906 30160 25095 33139491
130009 R 2.0 30 1 8492 115
 P 282420 30432 25103 33257634
130476 R 3.0 70 1 10660 116
 P 283374 30550 25111 33377934
130949 R 2.0 31 1 8535 117
 P 284792 30821 25121 33498234
131416 R 3.0 71 1 10704 118
 P 285592 31092 25130 33618534
131889 R 2.0 32 1 8579 119
 P 287078 31364 25141 33740383
132356 R 3.0 72 1 10748 120
 P 287877 31636 25150 33859134
132829 R 4.0 47 2 25486 121
 P 289296 31908 25159 33979434
133296 R 3.0 73 1 10792 122
 P 290095 32179 25168 34099734
133768 R 2.0 33 1 8667 123
 P 291514 32451 25177 34220034
134236 R 3.0 74 1 9940 124
 P 292379 32722 25188 34341147
134709 R 4.0 48 2 39471 125
 P 293896 32995 25197 34460634
135176 R 3.0 75 1 9984 126
 P 294853 33108 25205 34580934
135648 R 4.0 49 2 22931 127
 P 296273 33380 25213 34701234
136116 R 3.0 76 1 10027 128
 P 297071 33652 25222 34821534
136588 R 2.0 34 1 8798 129
 P 298558 33924 25233 34942295
137055 R 3.0 77 1 9175 130
 P 299355 34196 25241 35062134
 P 301660 34196 25244 35182434
 P 302456 34196 26455 35302734
138468 R 4.0 50 2 24854 131
 P 303877 34469 26464 35423034
138935 R 3.0 78 1 19378 132
 P 304740 34741 26474 35544339
139408 R 4.0 51 2 23106 133
 P 306257 35013 26483 35663634
139875 R 3.0 79 1 10203 134
 P 307216 35121 26492 35783934
140347 R 4.0 52 2 23149 135
 P 308638 35392 26501 35904234
140815 R 3.0 80 1 10247 136
 P 309433 35664 26509 36024534
141287 R 2.0 35 1 9914 137
 P 310922 35936 26519 36145743
141755 R 3.0 81 1 10291 138
 P 311717 36208 26527 36265134
142227 R 2.0 36 1 9958 139
 P 313139 36480 26536 36385434
142694 R 3.0 82 1 10334 140
 P 313933 36752 26544 36505734
143167 R 2.0 37 1 10001 141
 P 315356 37023 26553 36626034
143634 R 3.0 83 1 9482 142
 P 316217 37295 26564 36747019
144107 R 2.0 38 1 10046 143
 P 317736 37567 26572 36866634
144574 R 3.0 84 1 9526 144
 P 318529 37839 26581 36986934
145047 R 2.0 39 1 10089 145
 P 319952 38111 26590 37107234
145514 R 3.0 85 1 9570 146
 P 320913 38214 26599 37227534
145986 R 2.0 40 1 10133 147
 P 322404 38485 26610 37348679
146454 R 3.0 86 1 9614 148
 P 323196 38756 26619 37468134
146927 R 2.0 41 1 10177 149
 P 324717 39029 26627 37588434
147394 R 3.0 87 1 9658 150
 P 325678 39131 26636 37708734
147866 R 2.0 42 1 9325 151
 P 327102 39403 26645 37829034
148333 R 3.0 88 1 8805 152
 P 328129 39505 26656 37951235
 P 330506 39505 26914 38069634
 P 332172 39505 27249 38189934
149746 R 4.0 56 2 26277 153
 P 333693 39777 27257 38310234
150213 R 3.0 89 1 18638 154
 P 334483 40048 27266 38430534
150686 R 4.0 57 2 26320 155
 P 336159 40138 27277 38553151
151153 R 3.0 90 1 9833 156
 P 336949 40410 27285 38671134
151626 R 4.0 58 2 25467 157
 P 338471 40681 27294 38791434
152093 R 3.0 91 1 9877 158
 P 339260 40952 27303 38911734
 P 341634 40952 27661 39032034
153036 R 4.0 59 2 25982 159
 P 343224 41225 27671 39152891
153503 R 3.0 92 1 10391 160
 P 344013 41496 27680 39272634
153975 R 4.0 60 2 25130 161
 P 345439 41768 27689 39392934
154442 R 3.0 93 1 10434 162
 P 346402 41864 27698 39513234
154915 R 2.0 44 1 9206 163
 P 347925 42135 27707 39633534
155382 R 3.0 94 1 10478 164
 P 348780 42407 27717 39755063
 P 350152 42407 27725 39874134
156322 R 3.0 95 1 10522 165
 P 350939 42678 27734 39994434
156795 R 2.0 45 1 10189 166
 P 352367 42951 27743 40114734
157262 R 3.0 96 1 10566 167
 P 353154 43223 27751 40235034
157735 R 4.0 61 2 44688 168
 P 354745 43494 27762 40356947
158202 R 3.0 97 1 10610 169
 P 355709 43587 27771 40475634
158674 R 2.0 46 1 10277 170
 P 357137 43859 27779 40595934
159142 R 3.0 98 1 10654 171
 P 358102 43952 27787 40716234
159614 R 4.0 62 2 28976 172
 P 359626 44224 27796 40836534
160082 R 3.0 99 1 9801 173
 P 360656 44317 27809 40958479
160554 R 2.0 47 1 10365 174
 P 362181 44588 27818 41077134
161021 R 3.0 100 1 9845 175
 P 362966 44860 27826 41197434
161494 R 2.0 48 1 10409 176
 P 364491 45132 27834 41317734
161961 R 3.0 101 1 8993 177
 P 365276 45404 27843 41438034
 P 366660 45404 27848 41559371
162901 R 3.0 102 1 9037 178
 P 367444 45676 27856 41678634
163374 R 2.0 49 1 11392 179
 P 368970 45947 27865 41798934
163841 R 3.0 103 1 9081 180
 P 369754 46218 27874 41919234
164314 R 2.0 50 1 10540 181
 P 371280 46491 27882 42039534
164781 R 3.0 104 1 9125 182
 P 372130 46763 27892 42162183
165254 R 2.0 51 1 10584 183
 P 373657 47036 27901 42280134
 P 374944 47036 28608 42400434
 P 376476 47036 28616 42520734
166660 R 3.0 105 1 19277 184
 P 377258 47308 28625 42641034
 P 379692 47308 28997 42762947
167600 R 3.0 106 1 10152 185
 P 380474 47580 29006 42881634
 P 382222 47580 29995 43001934
168540 R 3.0 107 1 10196 186
 P 383189 47665 30004 43122234
169013 R 2.0 53 1 22371 187
 P 384902 47751 30013 43242534
 P 386662 47751 30313 43364479
169953 R 4.0 66 2 28563 188
 P 388336 47877 30321 43483134
170420 R 3.0 108 1 21420 189
 P 389304 47960 30330 43603434
170893 R 2.0 54 1 11743 190
 P 390939 48124 30338 43723734
171360 R 3.0 109 1 11224 191
 P 391719 48396 30346 43844034
171832 R 2.0 55 1 11787 192
 P 393314 48667 30357 43965371
 P 394038 48667 30366 44084634
 P 394762 48667 30374 44204934
173239 R 3.0 110 1 12207 193
 P 395541 48939 30382 44325234
 P 397075 48939 30390 44445534
174179 R 3.0 111 1 11355 194
 P 397920 49211 30401 44567447
 P 399394 49211 30410 44686134
175119 R 3.0 112 1 11399 195
 P 400172 49483 30418 44806434
175592 R 2.0 57 1 13754 196
 P 401702 49754 30427 44926734
176059 R 3.0 113 1 11443 197
 P 402480 50025 30436 45047034
176532 R 2.0 58 1 12902 198
 P 404077 50298 30446 45168947
176999 R 3.0 114 1 11487 199
 P 404854 50570 30454 45287634
177472 R 2.0 59 1 12946 200
 P 406384 50843 30464 45407934
177939 R 3.0 115 1 10635 201
 P 407161 51114 30474 45528234
178411 R 2.0 60 1 12990 202
 P 408691 51385 30483 45648534
178878 R 3.0 116 1 10678 203
 P 409534 51657 30493 45770479
179351 R 2.0 61 1 12138 204
 P 411065 51929 30501 45889134
179818 R 3.0 117 1 10722 205
 P 411841 52201 30510 46009434
 P 413278 52201 30514 46129734
180758 R 3.0 118 1 9870 206
 P 414053 52473 30522 46250034
 P 415520 52473 30527 46371371
181698 R 3.0 119 1 9914 207
 P 416295 52744 30536 46490634
 P 417658 52744 30539 46610934
182638 R 3.0 120 1 9062 208
 P 418432 53016 30548 46731234
 P 419758 53016 30551 46851534
183578 R 3.0 121 1 9106 209
 P 420600 53288 30562 46974183
 P 421888 53288 30566 47092134
184517 R 3.0 122 1 9149 210
 P 422661 53559 30575 47212434
 P 423912 53559 30578 47332734
185457 R 3.0 123 1 9193 211
 P 424685 53831 30586 47453034
 P 425966 53831 30591 47575331
 P 427259 53831 31281 47693634
 P 428436 53831 31284 47813934
187337 R 3.0 124 1 19414 212
 P 429421 53890 31292 47934234
 P 430561 53890 31295 48054534
188277 R 3.0 125 1 10221 213
 P 431575 53985 31306 48175327
 P 432677 53985 31309 48295134
189217 R 3.0 126 1 10265 214
 P 433588 54117 31317 48415434
 P 434653 54117 31320 48535734
190156 R 3.0 127 1 10308 215
 P 435525 54286 31330 48656034
 P 436620 54286 31335 48776731
191096 R 3.0 128 1 9456 216
 P 437390 54558 31343 48896634
 P 438380 54558 31346 49016934
192036 R 3.0 129 1 9500 217
 P 439150 54830 31355 49137234
 P 440103 54830 31358 49257534
 P 440884 54830 31368 49379447
 P 441598 54830 31376 49498134
 P 442312 54830 31384 49618434
 P 443608 54830 32067 49738734
 P 444468 54830 32070 49859034
195326 R 3.0 131 1 10998 218
 P 445304 55103 32080 49980947
 P 446127 55103 32083 50099634
196265 R 3.0 132 1 11041 219
 P 446894 55374 32092 50219934
 P 447679 55374 32096 50340234
197205 R 3.0 133 1 11085 220
 P 448446 55646 32104 50460534
 P 449261 55646 32109 50582479
198145 R 3.0 134 1 10233 221
 P 450027 55918 32119 50701134
 P 450738 55918 32122 50821434
 P 451430 55918 32125 50941734
 P 452104 55918 32128 51062034
 P 452827 55918 32133 51183371
 P 453464 55918 32137 51302634
 P 454083 55918 32140 51422934
 P 454683 55918 32143 51543234
 P 455265 55918 32146 51663534
 P 455895 55918 32151 51786183
 P 456439 55918 32154 51904134
 P 456966 55918 32157 52024434
 P 457473 55918 32160 52144734
 P 457961 55918 32164 52265034
 P 458498 55918 32169 52387331
 P 458949 55918 32172 52505634
 P 459382 55918 32175 52625934
 P 459796 55918 32178 52746234
 P 460191 55918 32181 52866534
 P 460635 55918 32186 52987327
 P 460993 55918 32189 53107134
 P 461332 55918 32192 53227434
 P 461653 55918 32195 53347734
 P 461955 55918 32198 53468034
 P 462305 55918 32204 53588731
 P 462570 55918 32207 53708634
 P 462816 55918 32210 53828934
 P 463044 55918 32213 53949234
 P 463253 55918 32216 54069534
 P 463510 55918 32221 54192055
 P 463682 55918 32224 54310134
 P 463836 55918 32227 54430434
 P 463970 55918 32231 54550734
 P 464086 55918 32234 54671034
 P 464250 55918 32239 54793715
 P 464329 55918 32242 54911634
 P 464389 55918 32245 55031934
215532 R 3.0 141 1 19556 222
 P 465147 56189 32254 55152234
216005 R 2.0 72 1 28184 223
 P 466691 56461 32262 55272534
216472 R 3.0 142 1 19600 224
 P 467515 56732 32273 55394223
216945 R 2.0 73 1 25539 225
 P 469059 57004 32282 55513134
 P 470044 57004 33264 55633434
217885 R 2.0 74 1 23791 226
 P 471589 57275 33273 55753734
218352 R 3.0 143 1 40228 227
 P 472345 57546 33282 55874034
218825 R 2.0 75 1 22043 228
 P 473957 57819 33292 55996139
 P 474943 57819 34273 56114634
219765 R 2.0 76 1 20295 229
 P 476489 58092 34282 56234934
220231 R 3.0 144 1 42195 230
 P 477244 58363 34291 56355234
220704 R 2.0 77 1 18547 231
 P 478790 58634 34300 56475534
 P 479844 58634 35280 56597927
221644 R 2.0 78 1 16799 232
 P 481389 58906 35288 56716134
 P 482376 58906 36266 56836434
222584 R 2.0 79 1 14155 233
 P 483922 59178 36275 56956734
 P 484910 59178 37251 57077034
223524 R 2.0 80 1 12406 234
 P 486429 59450 37262 57198051
 P 487417 59450 38238 57317634
224463 R 2.0 81 1 10658 235
 P 488868 59722 38246 57437934
 P 489855 59722 39222 57558234
225404 R 2.0 82 1 8910 236
 P 491402 59994 39231 57678534
225870 R 3.0 146 1 62673 237
 P 492222 60265 39242 57801119
226343 R 2.0 83 1 8954 238
 P 493674 60536 39251 57919134
226810 R 3.0 147 1 20082 239
 P 494426 60808 39259 58039434
227283 R 2.0 84 1 8997 240
 P 495878 61080 39267 58159734
 P 496867 61080 40240 58280034
228223 R 2.0 85 1 9042 241
 P 498482 61352 40251 58401499
228690 R 3.0 148 1 35816 242
 P 499233 61624 40260 58520634
229163 R 2.0 86 1 9085 243
 P 500686 61895 40269 58640934
 P 501676 61895 41240 58761234
